City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,piacabucu,-10.4056,-36.4344,303.28,56,79,7.16,BR,1698248803
116,vorkuta,67.5,64.0,253.71,100,17,0.98,RU,1698248804
117,tataouine,32.9297,10.4518,303.11,31,99,4.23,TN,1698248804
118,kas,36.2018,29.6377,296.68,52,85,2.21,TR,1698248805
119,tshela,-4.9833,12.9333,298.81,89,100,1.94,CD,1698248806
120,port shepstone,-30.7414,30.455,292.91,74,13,3.08,ZA,1698248806
121,thompson,55.7435,-97.8558,270.24,74,75,4.12,CA,1698248807
122,quellon,-43.1167,-73.6167,284.75,74,100,1.32,CL,1698248807
123,pauini,-7.7136,-66.9764,312.65,28,73,1.8,BR,1698248808
124,sydney,-33.8679,151.2073,289.1,76,75,9.77,AU,1698248690
125,isafjordur,66.0755,-23.124,275.17,87,40,0.51,IS,1698248809
126,masindi port,1.6961,32.0861,294.79,87,62,0.8,UG,1698248809
127,sinabang,2.4803,96.3801,298.89,83,77,1.26,ID,1698248810
128,saint-jean-de-monts,46.7833,-2.0667,289.35,86,100,6.82,FR,1698248811
129,mora,11.0461,14.1401,307.41,20,100,0.9,CM,1698248812
130,russkaya polyana,49.417,31.9201,285.38,95,100,6.1,UA,1698248812
131,ermoupolis,37.4423,24.9425,295.91,88,100,5.14,GR,1698248813
132,kiruna,67.8557,20.2251,268.66,93,100,3.6,SE,1698248814
133,sferracavallo,42.726,12.0956,292.46,96,89,6.37,IT,1698248815
134,kerrville,30.0474,-99.1403,297.76,90,100,5.66,US,1698248719
135,taroa,8.7058,171.2275,301.27,78,34,4.76,MH,1698248817
136,pitkyaranta,61.5734,31.4792,272.32,78,4,2.94,RU,1698248818
137,biltine,14.5333,20.9167,307.5,14,4,3.49,TD,1698248818
138,wailua homesteads,22.0669,-159.378,295.39,88,0,3.6,US,1698248819
139,gizo,-8.103,156.8419,300.48,79,90,2.34,SB,1698248580
140,handan,36.6006,114.4678,294.44,23,97,2.76,CN,1698248820
141,smithers,54.7804,-127.1743,262.33,85,20,1.54,CA,1698248820
142,east london,-33.0153,27.9116,293.67,64,20,4.63,ZA,1698248796
143,crane,31.3974,-102.3501,292.97,78,50,2.56,US,1698248821
144,nemuro,43.3236,145.575,285.26,78,0,2.0,JP,1698248823
145,papatowai,-46.5619,169.4708,286.4,79,100,4.54,NZ,1698248556
146,azul,-36.777,-59.8585,293.3,34,0,2.74,AR,1698248824
147,zabaykal'sk,49.6333,117.3167,270.52,34,4,4.38,RU,1698248825
